OBJECTID,POP_2018,USETYPE,USETYPECOD,CITY,MAINUSE,TAZAREA,SUMACCIDEN,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,Shape_Length,Shape_Area,CITYCODE,ACC_INDEX,YEARMONTH
5758,1232,מגורים,1,כפר הנגיד,מגורים,3629184,4,0,3,9,0,0,12,0,12,8,1,0,0,6,8,9373.211394,3629183.888,0,1.102176137,202012
5759,0,עתידי/לא ידוע,5,דיר אבו משעל,לא ידוע,8291795,3,0,1,8,0,3,6,0,9,5,0,0,0,4,5,11532.04878,8291794.872,0,0.361803445,202012
5760,1641,מגורים,1,עין גב מעגן האון תל קציר ומכללת כנרת,מגורים+ מכללה אקדמאית,34905825,38,2,12,118,0,47,76,9,132,81,6,5,0,59,81,41955.00772,34905824.51,0,1.088643514,202012
5761,5056,מגורים,1,ראשון לציון,מגורים,959122,15,0,3,14,7,5,6,6,17,22,3,0,2,13,22,4455.326056,959122.44,8300,15.63930345,202012
5762,724,מגורים,1,אבן ספיר,מגורים,1961952,1,0,2,0,0,0,2,0,2,1,1,0,0,0,1,6442.052963,1961951.837,0,0.509696466,202012
5763,1822,מגורים,1,אבו תלול,מגורים,47832857,24,3,8,52,2,23,39,0,63,40,2,1,0,29,40,35596.66365,47832856.73,0,0.501747157,202012
5764,5883,מגורים,1,קריית אתא,מגורים,484464,33,1,6,49,8,4,49,3,56,65,6,0,0,50,65,2918.990138,484464.4168,6800,68.1165164,202012
5765,10360,מגורים,1,אשדוד,מגורים,809867,26,0,0,41,12,8,27,4,41,40,0,0,0,34,40,3630.547658,809866.6517,70,32.10403684,202012
5766,0,תעשיה/מסחר/מתקנים,4,אזור תעשייה שורק-נחם,תעשיה,620906,2,0,0,2,1,0,2,0,2,3,0,0,0,3,3,4150.037463,620905.6406,0,3.22109949,202012
5767,0,פנאי/טבע/ספורט,3,ג'לג'וליה,שטח פתוח,863122,12,1,3,24,2,8,17,3,28,23,1,1,1,18,23,5795.17737,863121.6011,627,13.90301719,202012
5768,62,תעשיה/מסחר/מתקנים,4,בני ברק,תעשיה,256489,53,0,6,61,13,6,48,12,67,94,18,3,1,60,94,2787.796053,256488.5416,6100,206.6365419,202012
5769,1590,מגורים,1,חיפה,מגורים,224875,58,0,9,75,29,13,53,16,84,88,6,1,0,62,88,2132.291115,224874.5719,4000,257.9210673,202012
5770,5581,מגורים,1,ירחיב נירית מתן,מגורים,4307884,3,1,1,2,2,1,3,0,4,10,0,0,0,6,10,10935.24305,4307884.093,0,0.696397582,202012
5771,6420,מגורים,1,לוד,מגורים,483233,3,0,0,4,1,1,3,0,4,5,1,0,0,4,5,3425.27343,483233.3532,7000,6.208185285,202012
5772,5146,מגורים,1,ירושלים,מגורים,1011674,1,0,0,1,0,0,1,0,1,2,0,0,0,2,2,5180.978293,1011673.877,3000,0.98846071,202012
5773,2799,מגורים,1,תל אביב -יפו,מגורים+ מוסד אקדמאי,428697,51,2,9,53,18,14,40,9,64,90,25,0,5,42,90,2790.469995,428696.9856,5000,118.9651432,202012
5774,3343,מגורים,1,חיפה,מגורים,338284,5,0,0,7,2,1,6,0,7,8,0,0,0,8,8,2464.557664,338283.5132,4000,14.78048031,202012
5775,2170,מוסדי/ציבורי,2,אשקלון,מתחם ציבורי,2874292,8,0,2,12,5,3,10,0,14,11,1,1,0,7,11,15442.5727,2874291.955,7100,2.783294112,202012
5776,2360,מגורים,1,מודיעין-מכבים-רעות*,מגורים,3059520,7,0,1,13,1,1,12,1,14,13,2,0,0,9,13,7505.656055,3059519.732,1200,2.287940592,202012
5777,3742,מגורים,1,סח'נין,מגורים,565012,19,0,0,38,2,12,25,1,38,36,2,1,0,29,36,4438.849109,565012.0994,7500,33.62760437,202012
5778,0,עתידי/לא ידוע,5,בית ע'ור / בית ליקיא,לא ידוע,56908775,33,8,14,99,2,21,90,10,121,62,7,5,0,36,62,38818.88151,56908774.74,0,0.579875423,202012
5779,0,פנאי/טבע/ספורט,3,חולון,תיירות ונופש,353980,30,2,2,40,7,2,34,6,44,58,8,1,1,39,58,4330.68926,353980.4625,6600,84.75055088,202012
5780,5913,מגורים,1,בית העמק שייח' דנון עמקה נתיב השיירה כליל אשרת,מגורים,31822090,91,3,18,233,0,61,176,17,254,174,8,5,0,132,174,37256.89598,31822090.39,0,2.859648753,202012
5781,14635,מגורים,1,פתח תקווה,מגורים,1205019,41,0,9,48,15,10,36,11,57,70,12,0,1,48,70,5509.088988,1205019.225,7900,34.02435978,202012
5782,2568,מגורים,1,כנרת (קבוצה) דגניה א' כנרת (מושבה) דגניה ב',מגורים,13695070,22,0,1,63,1,20,38,6,64,40,2,3,1,27,40,25778.81142,13695070.17,0,1.606417492,202012
5783,0,פנאי/טבע/ספורט,3,רחובות,שטח פתוח,1110334,8,0,0,15,1,0,11,2,15,15,0,0,0,15,15,4104.83928,1110333.539,8400,7.205039204,202012
5784,170,מוסדי/ציבורי,2,"עין כרם-בי""ס חקלאי",מוסדי,1748111,5,0,0,6,0,0,6,0,6,9,0,1,0,8,9,8116.672437,1748110.503,0,2.860230271,202012
5785,5560,מגורים,1,באר שבע,מגורים,1634088,28,2,4,57,2,8,50,5,63,61,1,1,1,43,61,5287.114202,1634088.013,9000,17.1349401,202012
5786,2405,מגורים,1,תירוש שדות מיכה גפן זכריה,מגורים,30649177,22,0,3,56,0,11,42,6,59,47,0,4,0,33,47,32326.42984,30649176.67,0,0.717800677,202012
5787,108,תעשיה/מסחר/מתקנים,4,כפר סבא,מסחר ותעסוקה,231251,22,0,0,33,4,3,23,6,33,41,4,2,0,32,41,2445.452247,231251.4284,6900,95.13472374,202012
5788,5445,מגורים,1,ירושלים,מגורים,489315,2,0,0,2,0,1,0,1,2,2,1,0,0,0,2,2890.295822,489315.1214,3000,4.087346597,202012
5789,3860,מגורים,1,תל אביב -יפו,מגורים,423127,6,0,0,6,4,1,2,2,6,9,0,0,0,5,9,2682.465191,423126.602,5000,14.18013977,202012
5790,1822,מגורים,1,חיפה,מגורים,384188,24,0,1,34,11,11,17,6,35,39,3,0,0,34,39,2775.063795,384188.3159,4000,62.46941602,202012
5791,8732,מגורים,1,כפר יונה,מגורים,2578523,12,1,2,21,2,13,8,3,24,22,2,0,0,18,22,7461.071641,2578522.99,168,4.653827016,202012
5792,2141,מגורים,1,בנימינה-גבעת עדה*,מגורים,6114373,42,1,6,76,5,14,62,7,83,80,2,2,0,70,80,11872.96465,6114373.446,0,6.869060818,202012
5793,0,תעשיה/מסחר/מתקנים,4,ירושלים,תעשיה,222134,7,0,1,26,1,7,18,2,27,14,0,1,0,6,14,2148.195257,222134.394,3000,31.51251047,202012
5794,4523,מגורים,1,נס ציונה,מגורים,413545,17,0,2,27,7,3,18,8,29,28,1,0,0,23,28,2867.631191,413545.2284,7200,41.10798099,202012
5795,5004,מגורים,1,תל אביב -יפו,מגורים,384582,65,2,16,84,19,9,77,13,102,123,30,1,10,58,123,3372.969172,384582.005,5000,169.0146705,202012
5796,0,עתידי/לא ידוע,5,ביר א-ראמה / ח'ירבת זיתא,לא ידוע,4529799,11,0,6,12,1,0,17,1,18,25,2,2,0,13,25,8661.162524,4529798.834,0,2.428363819,202012
5797,4736,מגורים,1,אשקלון,מגורים,281223,16,1,5,14,11,5,9,5,20,22,1,1,0,16,22,2180.508165,281222.8585,7100,56.89435075,202012
5798,0,תעשיה/מסחר/מתקנים,4,מודיעין-מכבים-רעות*,תעשיה,2836437,1,0,0,1,0,0,1,0,1,2,0,0,0,1,2,7531.74346,2836437.426,1200,0.352554984,202012
5799,5986,מגורים,1,סח'נין,מגורים,621353,10,0,1,33,2,13,21,0,34,17,0,1,0,14,17,5319.601665,621353.0787,7500,16.09391119,202012
5800,13626,מגורים,1,בית שמש,מגורים,442106,7,1,3,4,5,3,5,0,8,9,0,1,0,5,9,2897.333377,442106.4606,2610,15.83330694,202012
5801,4476,מגורים,1,חולון,מגורים,395965,27,1,3,30,8,10,21,3,34,47,5,1,3,30,47,2729.025123,395965.0437,6600,68.18784489,202012
5802,2961,מגורים,1,קדימה-צורן,מגורים,2503366,7,0,0,8,1,1,7,0,8,12,4,0,0,8,12,6353.460048,2503365.693,0,2.796235149,202012
5803,6517,מגורים,1,רחובות,מגורים,407734,7,0,1,6,6,5,2,0,7,8,0,0,0,7,8,3075.634874,407734.2343,8400,17.16805564,202012
5804,5036,מגורים,1,ירושלים,מגורים,291403,18,0,4,28,9,6,20,6,32,30,3,0,0,22,30,2838.793746,291403.3671,3000,61.77012591,202012
5805,77,מגורים,1,עזוז,מגורים,393122466,12,1,7,21,0,4,25,0,29,22,0,0,1,16,22,104357.295,393122466.1,0,0.030524839,202012
5806,0,פנאי/טבע/ספורט,3,רמת השרון,שטח פתוח,696049,2,0,0,2,2,2,0,0,2,3,0,0,0,2,3,3828.892853,696049.2451,2650,2.873360927,202012
5807,727,מגורים,1,מעיין צבי,מגורים,627802,2,0,0,4,0,3,1,0,4,2,0,0,0,2,2,4434.623884,627801.5095,0,3.18571779,202012
5808,7340,מגורים,1,מזכרת בתיה,מגורים,1855314,11,0,0,18,4,8,9,1,18,21,0,0,2,18,21,7943.569939,1855314.292,28,5.928915537,202012
