נבדק ואושר,סוג נכס,מהות עסקה,מקור,"ת""ח",חלקה,גוש,תאריך עסקה,עיר,רחוב,מספר,כניסה,דירה,מחיר מוצהר,מחיר מוערך,שטח ברוטו,שטח נטו,מגרש,חדרים,מחיר למר,מחיר לחדר,גלריה,מרפסת,קומה,קומות,דירות בבנין,מעלית,חניה,מחסן,גג,חצר,שנת בניה,זכויות בניה,אחוזי בניה,תפקוד הבנין,מהות הזכות,תפקוד היחידה  ,שומה חלקים
לא,דירת מגורים,דירה בבית קומות,רשות,6,9,6882,09/12/2020,תל אביב -יפו,הצנחנים,1,,6,"2,279,500","2,279,500",73,73,0,3,"31,226","759,833",0,,1,25,122,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,15,263,7109,09/12/2020,תל אביב -יפו,תל אביב -י - ללא רחו,1,,15,"3,186,225","3,186,225",69,69,0,3,"46,177","1,062,075",0,,4,8,19,,0,0,0,0,2021,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,45,53,6882,08/12/2020,תל אביב -יפו,בית אל,12,,1,"2,200,000","2,200,000",75,80,0,4,"27,500","550,000",0,,3,7,92,,0,0,0,0,1960,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,105,9,6882,08/12/2020,תל אביב -יפו,הצנחנים,1,,105,"2,944,900","2,944,900",83,83,0,3,"35,481","981,633",0,,21,25,125,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,0,21,9021,08/12/2020,תל אביב -יפו,צלנוב,24,,3,"2,460,000","2,460,000",60,60,0,3,"41,000","820,000",0,,1,5,13,,0,0,0,0,2017,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,36,54,7075,07/12/2020,תל אביב -יפו,סהרון,28,,3,"1,470,000","1,470,000",60,62,0,2,"23,710","735,000",0,,2,4,8,,0,0,0,0,1970,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,30,9,6882,06/12/2020,תל אביב -יפו,הצנחנים,1,,30,"2,527,000","2,527,000",71,71,0,3,"35,592","842,333",0,,7,8,32,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,21,9,6882,06/12/2020,תל אביב -יפו,הצנחנים,1,,21,"2,472,000","2,472,000",73,73,0,3,"33,863","824,000",0,,4,25,122,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,29,9,6882,06/12/2020,תל אביב -יפו,הצנחנים,1,,29,"2,437,000","2,437,000",67,67,0,3,"36,373","812,333",0,,7,8,31,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,4,9,6882,06/12/2020,תל אביב -יפו,הצנחנים,1,,4,"3,110,000","3,110,000",109,109,0,4,"28,532","777,500",0,,1,8,30,,0,0,0,0,2025,,,מגורים,בעלות,דירה בבית קומות,1
לא,דירת מגורים,דירה בבית קומות,רשות,0,69,6135,06/12/2020,תל אביב -יפו,נתן,61,,2,"1,050,000","1,050,000",53,60,0,2,"17,500","525,000",0,,2,2,4,,0,0,0,0,1960,,,מגורים,בעלות,דירה בבית קומות,1
